,,,,,,,,,,,,,,,,,,,,,,
【人大代表建议#对涉罪未成年是否进入专门学校进行司法干预#】全国人大代表广西壮族自治区崇左市高级中学副校长黄花春建议：对未达刑事责任年龄的涉罪未成年人是否进入专门学校进行司法干预。由司法部门鉴定这些未成年人的行为是否达到必须进入专门学校进行矫治的程度，而非自愿进入。 人民日报的微博视频,2021/5/24 13:53,"评论
585",必须！赶快的！！,强制执行，能不能关到成年再执行？,涉罪未成年人也要分吧，杀人凶手还是不能放松，成年之后应该重新判刑,未成年保护法不能变成未成年罪犯保护法,支持，最好这样，因为不矫正，真的对未成年人不好,这么多天来听到为数不多有价值的一条提案，其他人都提的什么玩意,坚决支持！绝不能让未成年产生一种“反正我没成年做什么都不犯法”的心理,青少年们，请记住，不要犯罪！犯罪就是给自己人生抹黑，犯罪就是打自己的脸[加油][加油][加油],支持,这个很难不支持,这个绝对支持支持的请点赞,支持支持支持,首先降低刑事责任年龄，然后把年龄线下犯罪的少年强制送入工读学校进行教育，并在到达年龄时进行评估，如果没有达到教育好的标准，直接按原罪行进行审判！如果评估合格，继续在工读学校进行教育，直到成年，再评估是否可以进入社会。,还要参考犯罪恶劣程度，不能因为是未成年就一放了之呀,支持，小小年纪必须要教育好,支持 未成年犯罪更应该集中管理和教育！！不能因为是未成年而免罪,支持！自愿算啥，犯罪杀人都下得了手的，怎么肯自愿管教，必须强制才行，让他们知道犯罪是要付出一定代价的。,,,
,,,,,,,,,,,,,,,,,,,,,,
【人大代表#建议将传播虐待动物视频纳入公益诉讼#受案范围】近年来，虐待、虐杀动物并传播对动物施暴信息事件频频引发热议。全国人大代表、安徽省农业科学院副院长赵皖平建议，将传播对动物实施的暴力信息案件纳入公益诉讼的受案范围，明确环保、动保、消费者保护等相关社会组织就动物类公益损害行为提起公益诉讼的权利。全国人大代表、广东国鼎律师事务所主任朱列玉拟提交议案，制定反虐待动物法，从法律层面对虐待动物行为进行有效制约与引导。虐待动物事件频现，人大代表建议对传播施暴可提公益诉讼,2021/5/24 11:01,"评论
4886",这类型都是潜在的罪犯,感觉虐杀小动物的心理都有病,支持！！！我看之前说，有人卧底虐猫群，那些里面的人都说最想虐待的就是婴儿，太恐怖了。,这个必须有[加油],感觉那些虐待动物的 就是未来潜在杀人犯,这个必须支持之前看的那个虐猫视频，我头皮发麻，这种人还指望他对社会有什么贡献？能让他去教书育人？他当你的同事，你害怕不害怕，谁家敢放心把姑娘嫁给那种禽兽？,支持！！反对虐杀！！！！每一个虐杀动物的都是潜在的杀人犯！！,这个绝对支持，前几天还有502粘狗狗的眼睛的事发生,支持，希望加大力度。,支持 动物也是生命！,强烈支持！第一个就审那个姓范的吧,研究结果表明，虐待动物和犯罪家庭暴力之间是具有高关联性的71%家暴分子是动物虐待者另一项研究表明虐童者里面88%的人具有虐待动物的历史。变态杀人犯的初期一般是通过虐杀小动物来攫取快感和成就感到后期通过虐杀动物的快感无法满足心理需要时会转而寻求更大的刺激，而受害者多从易于施暴的女性开始。,这个绝对支持，前几天还有502粘狗狗的眼睛的事发生，太让人气愤了,终于！！！我举双手支持！！！！,心态扭曲的人才会虐待动物，也是潜在的杀人犯，是社会的危险人物，一定要严惩,很难不支持,可以不爱请别伤害。这个顶上去。,心里阴暗又残忍的人才能对动物那双无辜可怜又绝望的眼睛无动于衷的痛下杀手吧,支持,
,,,,,,,,,,,,,,,,,,,,,,
【市场监管总局副局长：加大力度#全面推行消费投诉公示制度#】市场监管总局副局长甘霖在委员通道上介绍，消费者也是监督者，人们习惯于花钱时先看看商家的好差评。打造消费投诉公示制度，是打造政务版的电商平台，#晒出商家投诉率#。消费者用脚投票，良币驱逐劣币，最终提振消费信心。下一步消费投诉公示制度要加大力度全面推行，聚焦投诉集中的企业和多发易发问题，让信息更公开，市场更透明，消费更放心。 人民日报的微博视频,2021/5/24 9:24,"评论
725",一个差评会招来各种各样的电话,也要管一管恶意差评吧，有的商家也蛮可怜的,这个政策好商业信用才是营商业的基本盘，曝光不合法的商企就是淘汰不合法经营，规范营商环境,支持，顾客现在太卑微了,这个政策好商业信用才是营商业的基本盘，曝光不合法的商企就是淘汰不合法经营，规范营商环境，市场更透明 消费更放心,那些耍刷赞刷评怎么办呢,市场透明，消费放心,好未来哒哒英语欺诈违约，侵犯用户权益，以系统升级为由单方面强行转换廉价课时：将客户账号内剩余的价值196元一节的一对一欧美外教主课时转换为价值仅20元廉价的口语精灵课。2、违反购课合同，强行增加有效期 3将所有客户账户内所存奖学金一夜之间盗取一空。请求国家权力机关查处，维护老百姓合法权益,能不能整治一下职业打假那些人！他们利用规则，恶意购买，恶意索赔！很多商家是存在过错，但是通过提醒等方式也能让商家修改不足的地方啊！都是抓住小商家的小错误，什么广告法，商标法这些，虽然都是存在的过错，但是小商家也是人，了解所有的法律法规不现实，还望出台相应政策，维护消费者，维护商家,第一，投诉要实名制，防止恶意攻击；第二，投诉率既要看条数，还要看分布。,多希望再也接不到骚扰电话,让信息更公开，市场更透明，消费更放心。,好未来哒哒英语欺诈违约，侵犯用户权益，以系统升级为由单方面强行转换廉价课时：将客户账号内剩余的价值196元一节的一对一欧美外教主课时转换为价值仅20元廉价的口语精灵课。2、违反购课合同，强行增加有效期 3将所有客户账户内所存奖学金一夜之间盗取一空。请求国家权力机关查处，维护老百姓合法权益,好未来哒哒英语欺诈违约，侵犯用户权益，以系统升级为由单方面强行转换廉价课时：将客户账号内剩余的价值196元一节的一对一欧美外教主课时转换为价值仅20元廉价的口语精灵课。2、违反购课合同，强行增加有效期 3将所有客户账户内所存奖学金一夜之间盗取一空。请求国家权力机关查处，维护老百姓合法权益,@仙女儿Cindy: 好未来哒哒英语欺诈违约，侵犯用户权益，以系统升级为由单方面强行转换廉价课时：将客户账号内剩余的价值196元一节的一对一欧美外教主课时转换为价值仅20元廉价的口语精灵课。2、违反购课合同，强行增加有效期 3将所有客户账户内所存奖学金一夜之间盗取一空。请求国家权力机关查处,返款诱惑刷好评太严重，怎么办！,那你知道多少商家被恶意差评搞的想自杀吗 有的甚至是竞争对手雇人专业做这个 你们要是先解决这个 那没问题,这个真是太棒了 网购看到好评太多的总是怀疑是刷出来的 就专挑差评看 其实那样对商家来说也很不公平 有了这个平台 是真好假好就一目了然了,让良币驱逐劣币成为流行！,特斯拉欺诈消费者治理一下？维权无门，市场监管形同虚设
,,,,,,,,,,,,,,,,,,,,,,
"#吉林新增本土病例1例#【#31省区市新增3例确诊#，#昨日新增2例境外输入病例#】5月23日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例3例，其中境外输入病例2例（上海1例，广东1例），本土病例1例（在吉林）；无新增死亡病例；新增疑似病例3例，均为境外输入病例（均在内蒙古）。
当日新增治愈出院病例3例，解除医学观察的密切接触者280人，重症病例减少1例。
境外输入现有确诊病例40例（含重症病例1例），现有疑似病例8例。累计确诊病例1713例，累计治愈出院病例1673例，无死亡病例。
截至5月23日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例79例（其中重症病例8例），累计治愈出院病例78261例，累计死亡病例4634例，累计报告确诊病例82974例，现有疑似病例9例。累计追踪到密切接触者742045人，尚在医学观察的密切接触者5154人。
31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者36例（境外输入4例）；当日无转为确诊病例；当日解除医学观察35例（境外输入2例）；尚在医学观察无症状感染者371例（境外输入28例）。
累计收到港澳台地区通报确诊病例1551例。其中，香港特别行政区1065例（出院1029例，死亡4例），澳门特别行政区45例（出院45例），台湾地区441例（出院411例，死亡7例）。",2021/5/24 8:15,"评论
262",吉林加油！,新增的不可怕，可怕的是还不知道患有病毒的患者啊 。希望2020快点好起来，不想再看到新增病例这几个字了,内蒙古也不容易，被分流了那么多次,上海 广东 吉林 加油 [加油]外防输入内防反弹 中国加油[加油],上广吉林手拉手,这是一场持久战！不能放松警惕！加油！一定会好的！,严防严控，继续保持，千万不能松懈。,不能放松！！！！,36无症状是哪的？吉林？武汉？怎么不报一下,吉林加油！早日清零,加油啊,加油，世界对于你没有不可能。,加油加油！,加油！,坚持就是胜利,严防严控进入常态化[加油],加油，加油,严防严控！这个时候也不可以松懈！,,
,,,,,,,,,,,,,,,,,,,,,,
【于殿利委员：#明星要为自身言行负责#】全国政协委员、商务印书馆总经理于殿利在谈到“追星”问题时表示，模仿榜样是人的天性，明星曝光率高，很容易被模仿。所以作为明星，一定要特别注重自己的言行，要树立正能量的言行。年轻人“追星”也要甄别什么是积极向上的，#追星要为自己负责#。中新视频的秒拍视频,2021/5/24 7:45,"评论
3768",吸毒就永远封杀,支持支持，希望也能管管网上引导粉丝对立撕逼的营销号啊，戾气太重了，追星的有很多年纪比较小的，很容易被煽动的，长此以往，思想会受到侵蚀的。,出轨吸毒的还有大把粉丝，我就郁闷了。粉丝脑子怎么想的,牺牲的缉毒警不会再回来 吸毒的明星也不该再出来,明星要做好榜样，同时粉丝也要理智追星。,个人行为个人负责是必须的，但搞连坐的话，就太恐怖了,出轨吸毒的明星不要再复出了，给社会带来不好的影响,建议封杀吸毒的明星。由于曝光率高，这种带头坏行为不能因两三年不出声之后又活跃而默默重回观众面前。这样超级不尊重为禁毒牺牲的警察！因毒品而枉死的人民！,明星做榜样 粉丝要理智,同意！！！自己本身有问题有污点的艺人就应该这样，但是评论里的黑子团体又来ky提人家本身啥也没问题的正能量艺人了,年轻人“追星”也要甄别什么是积极向上的。明星做榜样 ，粉丝要理智。,让我看看是哪家粉丝又开始对号入座了呢,理智追星，先做好自己！,明星为自己的言行负责，追星要为自己的言行负责，每个人都为自己的言行负责！！,其实不只是明星，每个人都应该为自己的言行负责，尤其是一些以无知为智慧为所欲为的人。,不仅是明星，每个人都要对自己的言行负责，谨言慎行！,理智追星，支持,吸毒嫖娼抽烟出轨这些必须封杀,支持,
,,,,,,,,,,,,,,,,,,,,,,
【#你好，明天#】民革中央建议未成年人不能从事超龄商业活动，提案引发共鸣。保护少年儿童，儿童利益最大化的原则不能偏离，绝不能因为商业荒废了学业，因过度出镜毁了童年。事实上，抢跑未必赢在起跑线，很可能变成拔苗助长。两会无小事。聚焦庙堂之高，也关注黄发垂髫，期待更多提案议案赢得掌声。,2021/5/23 23:26,"评论
1224",特别是现在的网红,应该培养孩子正确的三观，而不只是赚钱！,支持子，尤其是童模和拿孩子赚钱的主播都该规范了,今年两会好神奇。关注什么来什么,有些人就不配当家长，就拿小孩当作赚钱工具,这个还是非常同意的 那个中高考必考体育的建议不太行,学校教育：钱不是万能的！ 社会教育：没钱万万不能！,家教很重要，要从小开始好好教育自家孩子，长大了不求做多大贡献，只求不要危害社会,看看那个“小马云”真的是一个“悲剧”，在他的眼中已经离不开物质的生活。在这个炒作事件中他真的一点知识“营养”都没获取到，极大程度破坏了成长时期的身心健康和社会观念。支持未成年人不得参与商业炒作。,我觉得未成年犯罪法能不能改改,支持，之前网曝女童当模特，一天工作数小时不说还连轴，稍微不对还被父母打骂，简直妄为父母。儿童就应该享受儿童的生活，而不是成为被父母用来赚钱的工具。,太支持了！小孩子还是多读书，树立正确价值观再说,素质教育和文化水平很重要,挺多小童模的，还有专门录视频的儿童！,还是不要让小孩子来录那些什么vlog study account那些 重点 未成年人都能得到认证,有的爸妈，真的不适合养孩子。,支持！童年应该快快乐乐好好享受慢慢长大，不是用来过度利益化！,普通小朋友读书的时间都不够，让孩子们回归课堂回归学校吧。,支持， 树立正确价值观！,直指未成年人过早成为公用人物的问题了这次
,,,,,,,,,,,,,,,,,,,,,,
#全国两会#【加快数字化转型，稳住上亿市场主体】#爱聊20两会#：“从线下到线上，从找员工到找订单，从出海到海归”——经过疫情考验，越来越多的中小企业发现，加快数字化转型，可以精准控制库存、提升管理效能，降低企业运营成本。同时，还能及时找到国内消费群体，进行定制化生产，并衍生新消费。用好数字时代红利，中国有足够的信心稳健走出疫情，为全球经济发展提供样本。 加快数字化转型，稳住上亿市场主体,2021/5/23 21:22,"评论
183",加油，中国,为祖国自豪,数字经济是生产力发展和生产关系变革的新动力,加快数字化转型，稳住上亿市场主体,加油！,加油，中国，我为你骄傲,持续关注两会,经济大国到经济强国[加油]加油！,加油！,冲！！！中国力量加油！！！,向经济强国前进！！！！,[加油]加油,经济强国！,我的国,切中要害啊！,中国太厉害了！,,希望两会上有人提出将隐形摄像头的购买渠道设置严格点。必须要实名登记购买。现在酒店各种偷拍的很多。希望管理下,,
,,,,,,,,,,,,,,,,,,,,,,
【请查收！#政府工作报告#点名，#10类人群专属政策红包#】对照了解，和你我的生活息息相关，转发收藏！,2021/5/23 19:49,"评论
507",请代表发声，北京经讯时代科技有限公司，网…信理财，17万人被骗，750亿巨款无人问津！北京金融局严重失职，要求查办霍学文，包庇贪腐滥用职权行为！,希望祖国越来越好，互联网金融P2P受害人越来越少。,祖国的政策真的非常好，年前我爷爷摔了，去医院看病，花费6600+，后来医疗保险报销6400+［农村，精准扶贫户］ 我当时就和朋友感叹，如果不是这政策，有些地区的贫困老人可能都没法儿看病！,转发收藏！,祖国越来越好，政策越来越好，大家越来越好,中行已经不是原油宝问题了现在把客户信息通通泄漏出去这事怎么处理？,安居乐业是老百姓最大的愿望了 祖国会越来越好的,就因为不清楚无知风险相信中行广告可以长期持有购买了理财原油宝，倒在了响应国家口号脱贫致富的前线，可悲,恳请领导调查中国银行原油宝。投资者们维权无门！！！,放暑假了，留学生什么时候可以回家,转发收藏,好的！政策越来越好了[加油][加油],我的国，4亿金融难民，您不能坐视不管那！！！,希望在外务工人员的孩子读书也能和本地人也样的待遇，同是九年义务，外来人员的子女却要读高价书。,说好的共同富裕，任重道远,第三项，在现行标准下贫困户全部脱贫，贫困县全部摘帽，如何确保大家都达到标准？这种一刀切的做法，能够符合现实吗？脱贫摘帽就没有优惠政策了，这是惠民措施？没太看懂。,同学们加油,,,
,,,,,,,,,,,,,,,,,,,,,,
【习近平谈“#新就业形态#”：顺势而为、补齐短板】23日上午，在全国政协经济界联组会上，听完有关委员关于“新就业形态”的发言，习近平总书记指出，新冠肺炎疫情突如其来，“新就业形态”也是脱颖而出。要顺势而为。当然这个领域也存在法律法规一时跟不上的问题，当前最突出的就是“新就业形态”劳动者法律保障问题、保护好消费者合法权益问题等。要及时跟上研究，把法律短板及时补齐，在变化中不断完善。网页链接,2021/5/23 19:27,"评论
259",我们中国总是在不断进步！,挺[加油],,,加油加油！,加油,补齐短板。,主席辛苦,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
#全国两会#【@ 中小微企业，这些政策红包帮你渡过难关】#爱聊20两会#,2021/5/23 17:57,"评论
245",中小微企业扶持，太棒了，鼓掌鼓掌,棒！！,这个可以,可以支持,支持私营经济发展,这个可以有,这个很可以！,这个可以,中小企业是步履艰难……应该大力扶持一下！[加油],政策不错，一定要大力扶持中小微企业，这是中国就业人数最多的地方，已经有一部分倒闭了，加快输血,棒棒哒,鼓励减免房租等于没说！我们房东说了:要减房租可以，拿文件给我看！只要没说必须减就不可能减一分,高考政治考点出来了,房租才是大头，什么时候海市蜃楼样的泡沫楼盘经济没了 社会才是真的进步。,响应了国家号召脱贫致富，相信中国银行广告中的小白可以长期持有理财类原油宝，倒在了前线，一夜回到了贫穷,我们公司在国有的产业园里，甭说减免了，租金迟交了两天，还被罚了违约金，能落实到的政策才是好政策啊,满足,进一步稳定就业，扶持中小企业发展,这个可以,
,,,,,,,,,,,,,,,,,,,,,,
【#民法典这样影响你的生活#】作为新中国第一部以法典命名的法律，《民法典》具有里程碑意义。什么是《民法典》？离婚冷静期、未成年人游戏充值、职场/校园性骚扰、高空抛物伤人、app个人信息保护、网贷被套路、小区电梯广告的收益归属…日常生活中的这些大小事，民法典中都有规定。戳图↓#爱聊20两会#,2021/5/23 17:35,"评论
3837",离婚冷静期什么鬼？什么叫一方不想离就可以撤销？？？,1950年5月1号，《婚姻法》横空出世，第一次把离婚自由写在里中国律法里：男女双方自愿离婚的，准予离婚。男女一方坚决要求离婚的，亦准予离婚。 当年起草《婚姻法》的邓颖超女士为了保障女性的权利，坚决不附加任何条件。,结婚太冲动，30天可撤回吗,离婚冷静期是认真的吗？？？,为什么不配套一个结婚冷静期？不冲动结婚大幅降低了冲动离婚的概率,离婚冷静期，这么多人集体反对，无论哪个官微发起的投票，大家全都反对，你还能通过？你还能通过？,为什么要设置离婚冷静期,对我最大的影响就是，考试的时候要考,离婚任意一方不同意就能撤回？？？家暴的怎么办？？,冷静期会出问题的，譬如：导致发生强迫刑事案件,拜托增设结婚冷静期吧！说到底还是男性太多离不开女性，女性越来越优秀没有以前需要男性了，现在在这搞离婚冷静期，这玩意八成都是服务男性的,离婚冷静期是不打算改啦？怎么着都要双方申请撤回才行吧，一方反悔就接着过这婚姻能过的好？,除了离婚冷静期一言难尽之外。。。别的都挺好的。。。,冷静期真的没必要。。,为什么要设置离婚冷静期？都是成年了，难道不会为自己的行为负责？需要离婚冷静期负责？这个提议本身,提出离婚冷静期提案的代表，到底代表的是谁？明明我看到大多数人民都是反对的声音啊？难道是因为所代表的大多数的人民是不发声的人民？我困惑,？只要有一方反悔就可以？？？,谜之离婚冷静期,冷静期。。,
,,,,,,,,,,,,,,,,,,,,,,
【#体育有必要与中高考主科同等权重吗#？】日前，全国政协委员吴志明#建议把体育列入中高考必考科目#，并给予语文、数学等主科一样的考分权重。有网友赞同，认为有助于以此加强青少年身体素质，也有网友认为倘若实行反而会给学生增加压力。你认为，在中高考中体育有必要与语文数学同等权重吗？ 【体育有必要与中高考主科同等权重吗？】,2021/5/23 16:43,"评论
7061",什么能明白体育成绩和身体健康没有必然联系。适度运动是好的，我800米跑五六分钟不行吗？慢慢跑就不是锻炼身体了吗？为什么要算成成绩？？算成成绩我就要拼命跑跑到三分半内，每次跑完我都觉得我要窒息了，一点健康的感觉都没有,中考本来就有，高考大可不必。,不是在增负吗。。,有的人天生身体素质比别人差，这样岂不是太吃亏了,身体素质因人而异，强行锻炼未必就是为学生健康着想,不如明确要求其他科目不要占体育课时间，好好安排体育课和课间操，适当合适地运动。,这就是在增负别站在别人的角度替学生做决定，这不是学生的想法。,建议这个委员去高三感受一下，被题海压得头昏脑涨看你怎么往死里练体育！,这个天赋差异还是挺大的,因为中考体考，练到膝盖滑膜炎 囊肿，不能治愈……,虽然我大学都毕业了，但，大可不必，因为我以后还有孩子，哈哈,可以放宽标准 让大家只要体育锻炼就有分 不锻炼一定没分 比如一千米十分钟 之类的 少一点竞技性 以参与性为主 勿杠！！不要说这样还有什么意义 因为意义的本身就在于每个人怎么看待这个事情,我投票有用吗？,科目越多负担量不是越大么,没必要,没必要吧…一些有慢性疾病无法参加考试，又达不到满分免考要求的学生会很难办。我初中就有同学这样…,净放屁,中考可以 高考就不必了 添加不知道多少负担 压力更大,说实话高三熬夜很凶的，不要让孩子为了这个再拼命跑步了，身体真的吃不消,
,,,,,,,,,,,,,,,,,,,,,,
【#张文宏谈如何正确使用空调#】张文宏建议：在空调环境待了一两个小时以后，应该开开窗，就是开窗开空调，让风稍微通一通再关上，那么就可以保证室内的一个温度是比较低的，大家比较舒适的。通风可以降低室内病毒感染的风险，如果在室内人群比较多的时候，戴口罩可以从另一方面阻挡掉有可能的通过空调传播的病毒的风险。 人民日报的微博视频,2021/5/23 16:17,"评论
785",沈腾加油,最正确的方式：就是不开空调,咱们国家抗疫做的非常好，中西医结合的成绩很优秀，中西医结合是我们中国的独特优势。现在有些网友故意针对医生，引战 搞分裂，居心不良。,高校看看！可以开空调的,中央空调是不是还是不能开,那不行哦，太热了，办公室有些都不靠窗户，很闷,哈哈，我要听张文宏老师的话,划重点：多通风、戴口罩,主持人又问张文宏 室内开空调有风险吗，张文宏建议 : 一定要定时开开窗（关闭空调）让室内保持通风，让新鲜空气进到办公室里。,而且 这个空调的事情，你们前几天已经问过他了，怎么这次又问同样的问题？反反复复的问，为什么不一次性问清楚呢？？？,好的，张主任，可以开空调就好，疫情之路还很长，大家一定要按照有关规定来，早日战胜疫情,对的，最好26摄氏度以上,好的，这样可以有理由开空调盖被子了,张文宏还是低调一点吧，别总是喜欢露脸，干好自己的本职工作才是正道，学学钟南山。,南方现在开空调了？,听张教授的！,看看张医生的黑眼圈…别盯着他一个人采访了,涨知识了，谢谢科普！,,
,,,,,,,,,,,,,,,,,,,,,,
【#张文宏称全球疫情可能要连续一到两年#，#输入性偶发病例或成常态#】张文宏表示：这次疫情到现在为止没有结束，全世界的疫情可能要连续一到两年，也就是说在未来三个月以后或三个月当中都有可能整个世界会重启，整个世界重启的一个标志就是我们会有越来越多的输入性偶发病例。偶发的散发的病例会成为我们未来一到两年的一个特点，也是希望我们的经济活动不要受这些一例两例偶发病例的影响。 人民日报的微博视频,2021/5/23 16:07,"评论
5123",所以，防疫是个持久战了，口罩先别急着摘啊,张文宏的意思是: 中国到目前为止抗疫是最好的，现在做的仍然是天罗地网的监控模式，中国已经有很不错的公共卫生体系，后期等国际互通之后，如果有偶发病例入境，中国会继续强化公共卫生体系的完善。而中国的复工复产是必须要正常进行的，所以， 不希望民众有恐慌的情绪。（中国加油）,我一两年不开学？,咱们国家抗疫做的非常好，中西医结合的成绩很优秀，中西医结合是我们中国的独特优势。有些网友故意针对医生，引战 搞分裂，居心不良。,我一两年不开学？,张医生够客观，敢说实话！,我的天，一两年真的有点久了,人家说全球。全球。全球,五个一政策一到两年留学生有家回不去 流落海外 成为中国难民 不是说中国护照可以带你回家么,请人民日报关注五个一政策 关注回不了家的留学生,张主任每次都把事情说的让我们普通人听的明明白白，三期可能要去俄罗斯，巴西之类的高发地区接种了吧，加油，陈薇院士的一期结果已经很好了,不可能让海外滞留人员一直滞留，这应该成为一种常态化的节奏，流动是大势所趋啊，希望国内尽快调整五个一政策,幸亏张文宏疫情没治好几个病人，要不然进入会场想起全场掌声的就是他了,那么留学生还能回国么想回家了,说的太对了，现在很多人防疫过度！恨不得啥事都不要干,留学生一两年不能回国？？？,还有，大学开学封闭管理真的要命 能不封闭管理吗…学都开了,既然是持久战，那我们更要注意和防护，随时都有可能爆发，还是少去人流量大的地方,,
,,,,,,,,,,,,,,,,,,,,,,
【#张伯礼谈个人如何进行常态化防控#】张伯礼称应把一些做法变成习惯：如回家后第一时间洗手，尽量减少聚集，只要人多密集的地方尽可能要戴上口罩，不要让自己太疲劳。起码在相当长的一段时间里，大家都要坚持，如果全国都能做到了，会起到一个积极的作用。#爱聊20两会# 人民日报的微博视频,2021/5/23 15:46,"评论
607",今年的口罩看来得到年底了,听张院士的话！,保持抗疫常态，人多的地方一定戴口罩，勤洗手，我回家第一件事就是肥皂洗手，继续保持社交距离。外出就餐讲卫生，尽量分餐,疫情常态化 防控常态化 坚持住！会胜利！,听张院士的话,口罩是家中常备,注意个人卫生，按时锻炼身体，疫情期间少聚会[加油],听张院士的话，我每天都是这么做的,大学生封闭管理什么时候结束啊 为什么只关我们,要有自觉性哦朋友们,坚决听张院士的话！！,乖，都听张院士的话,听张院士的话,方方也不追着张先生道歉了？官方网站的报道，她应该会看风向吧！@方方,老实说，夏天戴口罩真的是一种煎熬,抵制口罩！西方赚钱的方式！大家小心！我们只要喝一号方子预防，得病的莲花清瘟还可以治愈！别让老美把钱赚了去！！张伯礼院士只是不好意思明说！！中国人顶起来！！,个人卫生要注意，出门逛街要注意戴口 祝大家平安健康,,,
,,,,,,,,,,,,,,,,,,,,,,
【正在直播：#张伯礼张文宏谈最新疫情形势#】空调能不能用？口罩用不用戴？疫苗什么时候能打？全球疫情什么时候能好转？人民日报新媒体两会5G云连线，对话张伯礼、张文宏，一起聊聊疫情形势。#两会云连线张伯礼张文宏#↓↓转发关注！#爱聊20两会# 人民日报的微博视频 .,2021/5/23 15:00,"评论
975",@方方 过来道歉,咱们国家，中西医结合 做的很好，造福中国的百姓，评论区里有些人故意装作张医生的粉丝 针对张伯礼院士，引战 挑拨关系，居心不良，大家 不要上当，投诉到@微博管理员 这个平台，可以让它们封号。,支持中西医结合，这是属于中国的独特优势。那些搞中西医分裂对立的人，有些是蠢，有些是坏，心真坏。,不管有没有新增，都要戴好口罩，勤洗手，多通风。虽然夏天很热，但是，口罩还是要乖乖戴好~~,引战的评论，大家可以投诉到@微博管理员 这个平台，可以让喷子禁言或封号的。,支持中医，支持张院士,口罩肯定还是要戴的，做好个人防护依旧重要。,不要那么极端，在生活中有些疑难杂症是需要中医的，过去古代的时候全靠中医。,还是要戴口罩 还是要打疫苗,支持中医，支持张院士,支持中医！支持张院士,中医黑出去吧，不配听,支持中医！,感谢张伯礼院士，您要保重身体！,张院士辛苦了！,中医是几千年的传承,支持中医提案！,希望中医发展壮大,全国排名第一的华山感染的主任，你说不是专家？,
,,,,,,,,,,,,,,,,,,,,,,
#全国两会# @ 所有公务员！做好今年工作，这些话要牢记↓↓转存！ #爱聊20两会#,2021/5/23 13:05,"评论
1069",形式主义真的非常没必要！！,辛苦基层干部了，特别是扶贫干部，今年太辛苦了,口号喊得响，该浪还是浪，基层过得紧，形式主义亮,我不是公务员，更要过紧日子,正在备考，希望今年加入到这个伟大的集体中,所以能不能真的给基层减减负？？？？？搞个爱国卫生，每周要报七八样材料，哪有时间下沉？？？？,工资真的很低，工作真的很多，算了，毕竟为人民服务,能让基层公务员正常休假吗？？？今年才过5个月，已经连着上了四个月班没有补贴，没有调休……六月也不休假,基层公务员挺辛苦的,但愿不是喊喊口号，希望地方政府官员保持清廉，尽职尽责，落实中央下达的各项工作。让小老百们确实能切身感受到政府的关爱,基层全都是形式主义，苦是下了，补贴都落不到实处，想挣钱就当官，想生活别考基层,所以国考面试什么时候发公告？,形式主义这一块不是一朝一夕能改的,为人民服务[加油],基层公务员不想说话光喊口号不落实，越喊越累，你们还不如啥都不说？,领导周末吃香喝辣，各种大公司争先恐后的请，然后基层拼死拼活的干活,基层是最累的,,,
,,,,,,,,,,,,,,,,,,,,,,
#全国两会#【习近平看望政协委员】23日上午，中共中央总书记、国家主席、中央军委主席习近平看望了参加全国政协十三届三次会议的经济界联组委员，并参加联组会，听取意见和建议。#爱聊20两会#,2021/5/23 12:16,"评论
302",加油！,,祝愿两会圆满成功,#两会#,辛苦！,辛苦啦,辛苦了 时刻关注两会！,愿祖国繁荣昌盛，长治久安。,冲冲冲冲！中国加油！,辛苦了！,,辛苦了,祖国越来越好,转发微博,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
【#巴西确诊病例超33万# 仅次于美国】巴西卫生部22日数据显示，巴西新冠肺炎确诊病例累计达到330890例，新增死亡病例1001例，累计死亡21048例。据路透社，目前巴西已经成为仅次于美国的全球第二大疫情“重灾区”。#巴西累计确诊升至全球第二# 央视网快看的微博视频,2021/5/23 10:35,"评论
529",很正常吧。。有这么一个反智的总统在。。人送外号“巴西小川普”不是白叫的。。,巴西总统，二号特朗普,巴西：这一次我们不一定会输给美国，奥力给，冲呀,反智的总统，加上不发达的医疗水平，贫富差距等，想不爆发都难,特朗普是巴西总统的师傅 很正常,新冠专治不服,关注巴西疫情的都知道，博索纳罗就是巴西的特朗普,还是希望疫情早日得到控制啊,美洲这是准备从地球上冲到宇宙中去吗,好兄弟就要比肩同行,共患难吧,专家模型预测，如果巴西政府不改变政策，感染人数讲达到2000w,特朗普：我的关门弟子弄得不错，格调也跟我一样，但你只能第二。,不愧是特没谱弟子,世上唯二的领导人，拿人民得健康和生命当儿戏,哥俩好啊，六六六呀,巴西小川普,希望赶快得到控制,巴西的总统，还要逆向操作么？之前有黑帮不是要站出来,
,,,,,,,,,,,,,,,,,,,,,,
