"【#甘肃新增11例境外输入确诊病例#】3月4日20时至3月5日20时，甘肃本地无新增病例。截止3月5日20时，甘肃本地累计报告新型冠状病毒肺炎确诊病例91例，累计治愈出院87例，累计死亡病例2例。现有2例在定点医院进行隔离治疗，其中兰州市1例、定西市1例。甘肃本地目前无疑似病例。目前，甘肃本地累计追踪到密切接触者4337人，已解除医学观察4259人，其余78人正在接受医学观察。
3月2日20时至3月5日20时，有311人分别乘商业包机由伊朗到达兰州，均已全部隔离。3月5日新增11例境外输入确诊病例，均在省级定点医院隔离治疗，病情平稳。新增境外输入密切接触者300人，其中38人在省级定点医院隔离留观，262人在集中隔离点隔离，正在进一步进行医学检测检查。（央视）",2020/3/5 23:13,"评论
2026",怎么新增这么多,顶住甘肃,请大家重视！,甘肃人民都惊呆了。。。,没关系不要害怕，这批人是包机回来直接就在兰州的一个新区集中隔离了，新区离市区挺远的，没有传播病毒。华侨们都是为了回国得到更好的治疗，可以理解。点对点转移肯定是比单独跑回来好得多,纪念伟大的无产阶级革命家、人民敬爱的周总理#纪念周恩来总理诞辰122周年#,甘肃马上就要交卷了，结果一翻卷子，怎么还有附加题！！！！,周总理诞辰不值得一条微博吗,问问自己，还有良心吗？还记得新中国的首位总理吗,我求求你发一条周总理的微博吧,周总理诞辰啊！,问你为什么不发周总理你还删评？真觉得自己是个东西了？,建议直接改名资本日报,快零点了您也千万坚持住不要发周总理的诞辰不然下次不好用数典忘祖来骂你,周总理诞辰122周年—— “没有伟大人物出现的民族，是可怜的生物植群；有了伟大人物出现而不知崇敬爱戴的国家，是没有希望的奴隶之邦。”,纪念伟大的无产阶级革命家、人民敬爱的周总理#纪念周恩来总理诞辰122周年#,#天津60个国企混改项目股权拍卖#  #中国将全面开放油气勘查开采市场# 稀土到油气，教育到医疗，食盐到自来水！无论咋改革要警惕国际经济财阀通过私有资本金融大亨掌握国企垄断资源，我国是公有制为主体公有制要控制国家经济命脉警惕走90年代苏俄“500天计划”的老路从超级大国变为乞丐大国,他们是看中中国的医疗制度才回来的吗？耐人寻味,,
,,,,,,,,,,,,,,,,,,,,,,
【#日本累计确诊新冠肺炎999例#，#日本因新冠肺炎死亡累计12人#】截至日本当地时间3月3日23时，日本累计确诊新冠肺炎病例999例，因新冠肺炎死亡累计12人。据日本广播协会电视台报道，3月3日，兵库县、北海道、神奈川县、大分县、东京都等地新确诊19人，在日本国内的日本人和中国游客等累计确诊279例；“钻石公主”号邮轮累计确诊706例；从武汉乘坐包机返回者累计确诊14例。（刘军国）,2020/3/4 6:45,"评论
1474",日本加油,快点好起来吧,日本这个数据感觉多少有点不真实……,日本：“我的统计都这么严苛了，怎么还有这么多？”,数据控制的真好，能晚一天破千是一天,不检测怎么会有确诊的,日本现在每天检测的人数非常少，确诊人数远不能反应真实传染程度，感觉日本不比韩国意大利好多少,现在除了湖北其他省市新增确诊病例，基本都是国外输入型的，所以凡是国外回来的，直接隔离！,数还挺好 （反对条例）,日本和美国都在掩耳盗铃，我不听我不听,他们领导人都咳嗽了，还不重视，没有对比就没有伤害，我爱中国，我相信我们国家！,日本应该和韩国差不多,日本现在为了奥运，为了经济，为了世袭的政治地位，人民的命都不顾了。,这个数字反正我是不信的,日本是每天都在卡人数吗,马上一千了 ！！！？估计很多还没检测吧！,日本的数字就不要发了，检测都不大做的数字根本没意义,数据太尼玛假了。,为了经济竟然罔顾人命，日本人果然啥都干的出来,
,,,,,,,,,,,,,,,,,,,,,,
【致敬！这就是#疫情面前的人民军队#】全军10000余名医护人员投入一线救治；先后派出4000多名医护人员驰援武汉；出动直升机4架次，转运医疗物资6.5吨…与全国人民风雨同舟、共克时艰！戳↓↓#数字告诉你军队战疫有多努力#！,2020/3/3 22:30,"评论
1253",人民子弟兵从不让人失望,英雄们辛苦了,只要有子弟兵在 我们就什么也不怕！,哪里需要，哪里就有中国军人的身影,感觉每个平凡且勇敢的你们,致敬英雄们,为人民军队点赞,致敬！！,致敬一线工作人员,致敬，最帅的你们！！,致敬！你们是英雄,致敬！辛苦了！,致敬，,不是种族问题，是阶级矛盾 走姿派的居留条例已经出卖民族利益了。走姿派的后代在外国出生或亲人取得外国籍，来中国享受永久居留的超国民待遇，再把国内资产转移到国外逍遥。走姿派开始学洋人搞慈善和私募，避税洗钱。我们的国家永远是人民的国家。现在最大的矛盾点是通婚然后他们就把这条例删就通过了,“愿中国青年都摆脱冷气，只是向上走，不必听自暴自弃者流的话。能做事的做事，能发声的发声。有一份热，发一分光，就令萤火一般，也可以在黑暗里发一点光，不必等候炬火。此后如竟没有炬火，我便是唯一的光。”-鲁迅,“中国人总是被他们之中最勇敢的人保护得很好。”--基辛格《论中国》,handsome man,军民一条心 共克时艰 加油[加油],,
,,,,,,,,,,,,,,,,,,,,,,
【湖北卫健委：#42322名医务人员支援湖北#，#钟南山李兰娟等10个院士团队齐聚湖北#】湖北疫情防控工作发布会，湖北省卫生健康委员会副主任涂远超介绍，钟南山、李兰娟、王辰、黄璐琦、张伯礼、陈薇、乔杰、仝小林等10位业内著名院士，集结他们的团队齐聚湖北。截至目前，有344支医疗队、42322名医务工作者从全国各地支援湖北。其中在这些医疗团队中，重症医学科、感染科、呼吸科、心血管科和麻醉科的专家达到15000多人，援鄂医疗队直接接管病区，在救治过程当中发挥重要作用。,2020/3/3 19:19,"评论
10477",都是我们国家引以为豪的勇士,都是国家栋梁之才。加油我们的恩人,辛苦了,平安归来,务必平安归来,辛苦了 希望所有的人都平平安安,辛苦你们了！,都是我们的英雄,万众一心，众志成城，中国加油，武汉加油,辛苦了！加油,向白衣战士，还有一线的工作者，致敬 保护好自己，才能更好的救治病人,加油中国,武汉加油，湖北加油，中国加油。,加油！中国！,“愿中国青年都摆脱冷气，只是向上走，不必听自暴自弃者流的话。能做事的做事，能发声的发声。有一份热，发一分光，就令萤火一般，也可以在黑暗里发一点光，不必等候炬火。此后如竟没有炬火，我便是唯一的光。”-鲁迅,我党宗旨是为人民服务不是为人类服务！坚决反对外籍永久居留！当初计划生育杀了好多自己的国民！经过人民允许了吗？真的能代表人民吗？外籍只要面试就能入读清华北大（几乎就是给一些国内的权钱人物的子女方便读清华北大）现在又提供渠道方便他们回国。在此严重警告和批评我党和政府！,,,,
,,,,,,,,,,,,,,,,,,,,,,
"【日本奥运担当大臣：#日本可在2020年内延期举办奥运会#，目前仍按原计划准备】据人民日报记者刘军国，日本奥运担当大臣桥本圣子3月3日在参议院预算委员会上回答何时可以确定东京奥运会是否举办时表示，“虽然并非官方见解，但是既然有国际奥委会委员说‘5月底可能是最终的期限’，5月底可能是一个大的参考时间。”
据日本广播协会电视台报道，桥本圣子就东京奥运会能否延期举办时表示，“按照奥运会举办城市合同，国际奥委会可以作出取消奥运会决定的原因只有‘本届奥运会如果不能在2020年举办’，按照这个解释，只要在2020年的话，可以延期举办。”
桥本圣子还表示，“东京奥委会、国际奥委会、东京都正在按照7月24日举办（东京奥运会）这一目标，全力准备，日本政府也将竭尽全力支持（办好奥运会）。”",2020/3/3 18:31,"评论
672",那就岂不是东京冬奥会了,安全第一啊 日本,等了四年了我想看奥运会,希望疫情快点结束，期待东京奥运,安全第一，日本加油，,延期吧 安全最重要 ！,希望今年內能看到奧運會，因為精彩！,加油，共同抗疫[加油],后面那个控评的小编，良心会不会作痛,炎黄子孙：炎帝与黄帝的后辈，取其简称 意义，代指华人，意指中华民族的后代,变成冬奥会,我觉得可以取消,这下成了冬京奥运会了,额，为了大家的平安健康，取消也可以的,支持延期！！,等了四年我想看奥运会不过安全第一吧，能延期就延期吧,还是延期吧 取消损失太大啦,但使龙城飞将在 不教胡马度阴山,,
,,,,,,,,,,,,,,,,,,,,,,
【#工信部鼓励对困难学生推出特惠流量包#：减轻困难学生网费压力】据工信部网站消息，工信部办公厅日前发布《关于进一步做好新冠肺炎疫情防控期间宽带网络助教助学工作的通知》。《通知》称，鼓励基础电信企业重点面向建档立卡贫困家庭学生推出特惠流量包等精准帮扶举措，减轻困难学生用网资费压力。网页链接,2020/3/3 16:40,"评论
2956",怎样让中国移动看到？,能不能把速度提升一下啊,我觉得流量其实应该都降一下,能不能把速度提升一下,办的校园卡，是校园流量。在家这段时间每个月只有4g，月月不够用,确认应该给予困难学生支持,支持！很人性,网课确实挺费网费的,支持,这个真的太人性化了,上个月用了40多个流量包,人性化,一年给10万不就行了,给留学生的补助花在我们国人身上，是不是政府部门心疼啊,我说资产转移，你搞男女对立！ 我说走资内奸，你谈个人独立。 我说反对条例，你就浑水摸鱼！和当年如出一辙的套路,保证之前4G的速度就行拉,相关的疑问迷惑条例可以开个官方记者会来澄清说明解释 而不是一味让民众疑心丧失公信力#外国人永久居留管理条例#,,,
,,,,,,,,,,,,,,,,,,,,,,
【#湖北回应首家方舱医院休舱#：积极变化，但还要做好打硬仗的充分准备】湖北省人民政府副省长杨云彦表示，湖北的疫情形势依然研究复杂，继续采取最严格的防控措施。当前主要问题有：消化存量的任务，全省还有2万患者仍在救治，有6000多名重症危重症患者加大救治力度。#疫情增量风险仍未根本控制#。疫情防控仍有不确定性，出现无症状检测阳性患者、出院患者复检阳性现象。疫情防控在老旧社区、特殊场所还有薄弱环节。 人民日报的微博视频,2020/3/3 16:26,"评论
1181",方舱医院早日闭门大吉,做到不出门自我隔离，不做出贡献，也不能给政府增添麻烦。,祝 方舱医院早日闭门大吉,做好境外输入防备工作。,希望方舱医院早日关门！疫情早日被战胜！,湖北加油[加油],还得加强不要外出溜达，在家多带几天，疫情就会慢慢减少。,方舱医院早日全部关闭,加油,我说资产转移，你搞男女对立！ 我说走资内奸，你谈个人独立。 我说反对条例，你就浑水摸鱼！和当年如出一辙的套路,因为这个条例，这有太多人就用ps什么的来宣扬种族歧视，就是在激化矛盾。条例有不合适的方面没错，可是都被带到种族歧视上了，这肯定是有问题的，很多人被牵着鼻子走，我认为这跟香港问题是存在某种联系的,"#湖北非武汉地区请求分级精准管控#“我们愿接受健康检查分批离开，到了所在城也会自觉接受14天隔离”, 一群非武汉区的健康人被封锁在湖北境内遥遥无期的等……没有人知道我们何时会返工，也没人知道是否会失业失眠抑郁，在外地的老板、工作者都要疯了。 求求关注下非武汉区需要返工的健康群体，谢谢！",主要集中在武汉，复杂的是武汉，不是湖北的所有，请根据疫情风险等级进行分级分类管理，武汉地区滞留人员可以领取补贴，湖北省其他地区的滞留人员不要求补贴，就是希望回自己家！！不想继续滞留了而已！太难了！！,现在境外每天新增几百上千例，还可以入境中国，为何我们拥有5000人口的湖北省武汉市外，每天加起来新增个位、几乎都在家隔离了三四十天、确诊疑似也被收治隔离的地区却不能逐步解封。我们每天不仅要承受高额物价，交租还贷，还要承受失业的心理压力。每天还有不少网络喷子地域黑。太难了。,麻烦先给湖北除武汉外的市按照风险等级进行分级管制好吗？！！！！不要懒政一刀切了！老百姓的死活真的就这么没有份量吗？,配合疫情没问题，但是也请关注几十万外省务工人员的死活，几个月没有收入，各种贷款压力，并且不知还要持续多久，到现在没有给个相应的政策，现在各地开业首先辞退的是湖北人……,不要“万人皆睡你独醒了”，几乎全民压倒性反对的条例，然后全民都被牵着鼻子走？那更要好好检讨我国的舆论导向是不是有问题了？不是老是想着反对的人有问题，也不想想这条例为何如此激起这么大的民愤。,管管滞留在湖北的外省人员吧！居家隔离40多天了，整个部门就我一个没有回去！被困湖北毫无经济来源，还要担心被裁掉的风险，损失谁来负责？政府负责吗？一个14又一个14的，我们乖乖配合了结果呢？谁来保障我们？,,
,,,,,,,,,,,,,,,,,,,,,,
【世界野生动植物日，保护它们就是保护人类自己】今天，#第7个世界野生动植物日#，#保护野生动植物就是保护人类自己#。拒吃野味，拒绝野生动物制品，转发承诺！,2020/3/3 14:02,"评论
1384",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"【#有波动更要严防输入#！转发提醒】3月2日，#湖北以外新增确诊病例11例#。其中浙江新增7例,均为境外输入性病例；辽宁新增3例均为丹东市病例；上海新增1例。严防输入病例，不要放松警惕！",2020/3/3 13:22,"评论
1001",真的很可怕 请一定要严控境外输入啊！,浙江青田加油！[加油][加油],严控境外输入！,中国加油，不能让疫情卷土从来。,严防输入病例，不要放松警惕,严控境外输入！,严防输入！,严防输入！！,中国加油,中国是中国人的中国,中国是中国人的中国 严防反向输入！！,五千年的风和雨啊，藏了多少梦，黄色的脸黑色的眼，不变是笑容。不说五千年，希望五十年后，看到的还是黄色的脸孔，而不是满街的黑黄混血。坚决反对外国人永久居住条例！,转自网友:中华民族不狭隘，优秀人才很欢迎，条例规定太宽松，权利义务不对等。本质在于双国籍，操纵资产外转移，国内百姓上学难，住房看病难上难，问题根源在哪里？下岗工人告诉你。不要吵架不要闹，不然甩锅共同体。积极投票加意见，全部反对要做到。电话邮件和写信，录音截屏要收好，各种形式表民心,有人为了自己的一己私欲提出#外国人永久居留管理条例# 这个条例，丝毫不顾及中国是否真的需要这个条例，丝毫不顾及民众是否真的赞同这个条例，他们只不过想打这这个条例的幌子干龌龊事而已,联姻是假，法案是真。 制造热点，转移注意。 五年永居，财产转移。 成为老爷，待遇奇高。 上有苏州，下到小县。 明修栈道，暗度陈仓。 坚持反对 坚决反对 #外国人永久居留管理条例#,#外国人永久居留管理条例# 坚持几点： 1、对外~反对外国人及移民的超国民特权。 2、对内~警惕2代绿卡、zb转移、出口转内销。3、别被人才引进论调带歪（早已有高端人才引进政策） 4、外国人是烟雾弹，被用作分化网友的工具，给网友扣上zz歧视的帽子。结论：全部否定，不折中！,建议把娱乐圈乱七八糟的肖战，蔡徐坤这些带坏粉丝的人都封杀了吧，天天买热搜，都烦死了,中国是中国人的国，相信祖国，加油，严禁外来输入,反对#外国人永久居留管理条例#,
,,,,,,,,,,,,,,,,,,,,,,
【#浙江干部教科书式劝回国侨胞#】近日，浙江青田侨联党组书记张伟华的一段讲话引来点赞。据了解，在意大利的青田华侨共约10万人，曾向国内援助大批物资，但随着意大利疫情蔓延，部分华侨产生恐慌选择回国。张伟华的一段讲话，一方面欢迎大家回来，劝导大家统一隔离，另一方面规劝其他侨胞尽量不要返乡。一手video的秒拍视频,2020/3/3 12:28,"评论
2700",这个做法很硬核 欢迎回来，但是也请一定要自我隔离 !,欢迎回来 但要好好隔离,镇定最重要,太棒了！做法很好了！,,,坚决反对#外国人永久居留管理条例# ，至少放弃中国国籍的外国华人没有资格申请永久居留,转自网友:中华民族不狭隘，优秀人才很欢迎，条例规定太宽松，权利义务不对等。本质在于双国籍，操纵资产外转移，国内百姓上学难，住房看病难上难，问题根源在哪里？下岗工人告诉你。不要吵架不要闹，不然甩锅共同体。积极投票加意见，全部反对要做到。电话邮件和写信，录音截屏要收好，各种形式表民心,坚决反对#外国人永久居留管理条例# ！中国人不是下等人，我们只想要一个平等的权利与地位！请不要给外国人超国民待遇！请取消外国人豪华留学生公寓，高额补贴，高额奖学金！中国人不是下等人！这个大学生不是下等大学生！坚决反对#外国人永久居留管理条例#,欢迎回家，但是要好好做好隔离！！！,坚决反对#外国人永久居留管理条例# ！！！,打开视频看一看好伐，青田侨联都说了之前疫情困难时期，在意大利的华人华侨也积极筹措物质资金支援祖国，现在那边疫情变严重了，人家想回国避避是人之常情。也不是说到处乱跑，尽量都统一包机包车接受隔离。,对比下别的国家，我们中国在不到一个月的时间把病毒感染率控制住。回顾历史，没有那个国家能做到像我们这样不惜重金免费救治人民。我们看到无助的感染者，我们也看到了倒在岗位上的医生、警察、救护者，还有无数默默无闻的奉献者。我们的依靠，中国,反对#外国人永久居留管理条例# 反对#外国人永久居留管理条例# 反对#外国人永久居留管理条例# 反对#外国人永久居留管理条例#，希望每一个人都去官网投出自己反对的一票，这是关系到到我们每一个中国人的事情。,因为这个条例，这有太多人就用ps什么的来宣扬种族歧视，就是在激化矛盾。条例有不合适的方面没错，可是都被带到种族歧视上了，这肯定是有问题的，很多人被牵着鼻子走，我认为这跟香港问题是存在某种联系的,新修条例：门槛低（17条）， 鱼目混珠（19条）， 特殊待遇（36条） 可以拖亲带友（18条）， 国内资产转移（39条）；有权利无义务，无工作可以享受社保（第41条），妥妥的出卖国家民族利益！,坚决反对#外国人永久居留管理条例# ！！坚决反对#外国人永久居留管理条例# ！！坚决反对#外国人永久居留管理条例# ！！坚决反对#外国人永久居留管理条例# ！！坚决反对#外国人永久居留管理条例# ！！坚决反对#外国人永久居留管理条例# ！！,,,
,,,,,,,,,,,,,,,,,,,,,,
【#中国工作组考察巴基斯坦蝗灾区#：情况比预想严重】据介绍，#中国工作组称巴基斯坦蝗灾比预想严重#。此次灾害中的沙漠蝗虫与中国境内常见的东亚飞蝗相比，不但个头较大，攻击性较强，对生态的破坏也十分严重。目前中巴两国专家正密切合作，共同应对此次蝗灾。（央视） 人民日报的微博视频,2020/3/3 11:23,"评论
2002",中巴友谊长存！,一定要消灭在境外！,比想象中严重希望可以没事,辛苦了 希望蝗灾早日得到有效治理，严防蝗虫迁入危害！,中巴友谊万岁！希望巴基斯坦早日度过难关,友谊长存,坚决反对#外国人永久居留管理条例# ！！坚决反对#外国人永久居留管理条例# ！！坚决反对#外国人永久居留管理条例# ！！坚决反对#外国人永久居留管理条例# ！！坚决反对#外国人永久居留管理条例# ！！坚决反对#外国人永久居留管理条例# ！！坚决反对#外国人永久居留管理条例# ！！,各位大佬请不要怪我们刷你屏，我也只是想让大家知道，我们坚决反对#外国人永久居留管理条例# 我坚决反对大规模引进外国人!我坚决反对通过外国移民实现中华民族伟大复兴!中华民族的伟大复兴是靠我们中国人自己[你们可以来骂我了]（很抱歉本条评论与新闻无关）,巴基斯坦也有新冠肺炎吧，要戴口罩啊,转自网友:中华民族不狭隘，优秀人才很欢迎，条例规定太宽松，权利义务不对等。本质在于双国籍，操纵资产外转移，国内百姓上学难，住房看病难上难，问题根源在哪里？下岗工人告诉你。不要吵架不要闹，不然甩锅共同体。积极投票加意见，全部反对要做到。电话邮件和写信，录音截屏要收好，各种形式表民心,防境外输出你们能做到像防我们湖北人一样吗,#外国人永久居留管理条例# 问题出来了，大家都不希望外国人移民，微博一条条的评论了，作为官媒总要站出来说句话，倾听民声，不说要你们解决，你们各种删是什么意思？有病不去治病，光说没事没事，你们不如关了评论。真的！,反对#外国人永久居留管理条例# 抵制崇洋媚外心态！ 抵制双重国籍漏洞！ 抵制变相转移资产！ 抵制变相洗钱逃税！ 抵制低条件定居中国！ 抵制留学生豪华公寓！ 抵制留学生超国民待遇！ 抵制中黑配婚黑人增多社会安全问题飘升！ 护我中华，佑我华夏！,请国家重点关注从国外入境中国几大城市：浙江！丹东！成都！青岛！威海！烟台！沈阳！大连！一定要防控输入型病例。估计未来一段时间，这种境外输入型病例将成为常态，关键要做好机场的交接和隔离。不要喷我多嘴，我只是怕了。 中国要挺住！,#外国人永久居留管理条例# 在草案意见结束之前我会一直评论！我拒绝草案中通过结婚的严重漏洞，知名学校毕业这个，国内留学生水平有多差自己心里没数？？引进高端人才不等于可以接盘，我拒绝神州大地五颜六色！草案39.41.42我也决不同意！我拒绝祖先的江山变相地拱手送人！别跪得太久了都站不起来了！,坚决反对#外国人永久居留管理条例# 坚决反对#外国人永久居留管理条例#,,,,
,,,,,,,,,,,,,,,,,,,,,,
【#国家将加快人工智能研究生培养#】近日，教育部、国家发展改革委、财政部发文，指出要依托“双一流”建设，深化人工智能内涵，构建基础理论人才与“人工智能+X”复合型人才并重的培养体系，探索深度融合的学科建设和人才培养新模式，着力提升人工智能领域研究生培养水平，为我国抢占世界科技前沿，实现引领性原创成果的重大突破，提供更加充分的人才支撑。网页链接,2020/3/3 10:55,"评论
6073",这个事情，还是要落到实处，不要把一些院校的数统专业改个名字就是人工智能了，大家上课都是原来那套东西，没有实质性改变,支持！！坚持发展科技,人才强国,科技兴国！培养高科技人才[加油][加油][加油],人工智能时代,坚决反对#外国人永久居留管理条例# ！！坚决反对#外国人永久居留管理条例# ！！坚决反对#外国人永久居留管理条例# ！！坚决反对#外国人永久居留管理条例# ！！坚决反对#外国人永久居留管理条例# ！！坚决反对#外国人永久居留管理条例# ！！坚决反对#外国人永久居留管理条例# ！！,坚决反对#外国人永久居留管理条例# ！！如果通过 我们这一代人 就是历史的罪人了 后人会说在2020年3.27 我们这一代人 同意了这个法案 真的是成千古罪人了 那么真的是遗臭万年 不为现在 为未来 不为自己 为后人 复制＋转发 否决法案 你我他,全民呼吁，从我做起，坚决反对#外国人永久居留管理条例# 全民呼吁，从我做起，坚决反对#外国人永久居留管理条例# 全民呼吁，从我做起，坚决反对#外国人永久居留管理条例# 全民呼吁，从我做起，坚决反对#外国人永久居留管理条例# 全民呼吁，从我做起，坚决反对#外国人永久居留管理条例#,#外国人永久居留管理条例# 我们要做的应当是想办法培养自己的人才，留住自己的人才，而不是指望外国人来建设社会主义新中国,位卑未敢忘忧国，坚决反对#外国人永久居留管理条例#！！！,外国人不需要那么多,注重一下人民的呼声吧,#外国人永久居留管理条例#门槛低（17条）， 鱼目混珠（19条）， 特殊待遇（36条） 可以拖亲带友（18条）， 国内资产转移（39条） 第41条无工作可以享受社保， 别以为辟谣就感激涕零了 。现在流行造谣式辟谣，老套路了。大家别被忽悠了,多出台点政策留住本国人才资助本国贫困学生比你从非洲弄来多少个留学生都强，真的，可以先把他们的留学生补贴取消了嘛,坚决反对#外国人永久居留管理条例# ！！坚决反对#外国人永久居留管理条例# ！！坚决反对#外国人永久居留管理条例# ！！坚决反对#外国人永久居留管理条例# ！！坚决反对#外国人永久居留管理条例# ！！坚决反对#外国人永久居留管理条例# ！！坚决反对#外国人永久居留管理条例# ！！,中国历史上最伟大的人是谁，人民说是他，他说是人民。,,,,
,,,,,,,,,,,,,,,,,,,,,,
【广东援鄂一线医护火线入党，#55年党龄钟南山院士庄严领誓#】2日下午，广州医科大学附属第一医院党委举行粤鄂远程视频连线，为坚持奋战在抗疫一线的重症医学科副主任医师徐永昊、内分泌科驰援武汉汉口医院护士李颖贤两名同志举行“火线入党”宣誓仪式。当日，钟南山院士庄严领誓。N视频的微博视频,2020/3/3 8:05,"评论
873",钟老太操劳了,致敬 辛苦了,钟老也要注意休息,钟爷爷辛苦了,抗疫医生们都是英雄,钟老辛苦了,辛苦了,钟老,男神,不上热搜，继续刷#外国人永久居留管理条例# 。差不多40亿的阅读量，被你们压着不上热搜，内情可想而知。,坚决反对#外国人永久居留管理条例# ！！坚决反对#外国人永久居留管理条例# ！！坚决反对#外国人永久居留管理条例# ！！坚决反对#外国人永久居留管理条例# ！！坚决反对#外国人永久居留管理条例# ！！坚决反对#外国人永久居留管理条例# ！！,辛苦你们了一线抗疫人士 坚决反对#外国人永久居留管理条例#,坚决反对#外国人永久居留管理条例# ！！坚决反对#外国人永久居留管理条例# ！！坚决反对#外国人永久居留管理条例# ！！坚决反对#外国人永久居留管理条例# ！！坚决反对#外国人永久居留管理条例# ！！坚决反对#外国人永久居留管理条例# ！！,种族歧视只是烟雾弹！！资产转移才是重点！！！这个条例实施以后，就是方便那些有着外国国籍的中国富豪转移自己的财产到国外，安安心心地享受自己的财富！！！敌人是党内的肘子π！！！,#坚决反对外国人居留永久管理条例# 【警惕西方意识形态渗透】改革开放以来，以美国为代表的西方国家持续对我国进行意识形态渗透、和平演变，同我们争夺阵地、争夺人心、争夺群众，不少西方错误思潮进入我国并几度泛滥，尤其是随着互联网的迅猛发展，这些错误思潮产生的危害大，制造了不小的思想混乱。,坚决反对#外国人永久居留管理条例# ！！坚决反对#外国人永久居留管理条例# ！！坚决反对#外国人永久居留管理条例# ！！坚决反对#外国人永久居留管理条例# ！！坚决反对#外国人永久居留管理条例# ！！坚决反对#外国人永久居留管理条例# ！,#外国人永久居留管理条例#种族歧视只是烟雾弹！！资产转移才是重点！！！这个条例实施以后，就是方便那些有着外国国籍的中国富豪转移自己的财产到国外，安安心心地享受自己的财富！！！敌人是党内的肘子π！！！,每年引进几万甚至十几万亚非拉留学生，人均10万元的奖学金，总计每年支岀100亿用于奖学金支岀，这笔钱用来救助失学女童、孤寡老人、残障人士……它不香吗？是的，我就是自私，他们没有给我们国家做任何贡献凭什么花我们的钱？来自又一条被删的回复,: 坚决反对#外国人永久居留管理条例# ！！坚决反对#外国人永久居留管理条例# ！！坚决反对#外国人永久居留管理条例# ！！坚决反对#外国人永久居留管理条例# ！！坚决反对#外国人永久居留管理条例# ！！坚决反对#外国人永久居留管理条例# ！！,
,,,,,,,,,,,,,,,,,,,,,,
【#意大利新增342例新冠肺炎#，#意大利累计确诊2036例新冠肺炎#】根据当地时间3月2日18时意大利卫生部公布的最近数据，意大利现有新冠病毒患者1835例，死亡52例，治愈149例，累计确诊感染新冠病毒总人数为2036例，较3月1日18时新增342例，其中重症166例，新增18例死亡病例。（人民日报记者韩硕）,2020/3/3 6:42,"评论
1420",这太可怕了，尽快隔离吧！,太快了太快了,越来越多,,坚决反对#外国人永久居留管理条例#,古有石敬瑭今存yyy，坚决反对#外国人永久居留管理条例# 反对二代洗钱，反对低端劳动力反对超国人待遇,严控境外输入[加油] 反对#外国人永久居留管理条例#,我旗帜鲜明地支持外国人条例！,第一时间隔离从国外回来人员，我们人人出门一定戴口罩，一直戴到夏天就不会反扑，我们一起加油！,实际感染远远不止，看看死亡率就知道了,担心中国留学生,照他们游行的劲头，这怎么抑制得下来 敬nm的自由,还天天嚷嚷着自由！自由每一天，就不在人间,2月26日，意大利一名议员戴着口罩进入会议被群嘲，发言时这位议员情绪非常激动，将口罩摘下。对着在场人说：“自己去过三个疫区，戴口罩是为了大家安全着想，如果你们是聪明人，你们也早戴上口罩了。”说完怒摔话筒。,这个病到意大利怎么死亡率提高了,一个月前，我盼望着中国不要全红。现在，我盼望着全世界不要全红！注意反向输入病例，全国战疫的结果不能最后功亏一篑！！不然会伤了我们大家的心！！！,严防死守，坚决反对#外国人永久居留管理条例#,中国是中华民族的中国,,
,,,,,,,,,,,,,,,,,,,,,,
